Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,batch_size,batch_size_sampler,lr,num_neighbors,num_hops,epochs,train_time,test_time,params
cora_runy9nstg6p_GAT_hyper4yae58xa,6.83 ± 8.87,50.71 ± 18.63,89.24 ± 12.07,98.49 ± 2.46,100.00 ± 0.00,100.00 ± 0.00,46.35 ± 5.27,6.83 ± 8.87,50.71 ± 18.63,99.95 ± 0.06,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,128,128,4,0.1,0,3,0.015,3,2,32,1,3,0.1,dot,256,128,0.1,10,5,1000,4.783485889434815,4.829803705215454,222561
cora_run00bz2dth_GAT_hyperjz6n9qy0,45.00 ± 48.85,67.26 ± 29.88,98.92 ± 1.85,99.62 ± 0.66,100.00 ± 0.00,100.00 ± 0.00,52.64 ± 43.63,45.00 ± 48.85,67.26 ± 29.88,99.28 ± 1.24,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,128,128,4,0.1,0,3,0.015,3,2,32,1,3,0.1,dot,256,128,0.1,10,5,1000,4.274156093597412,4.29602837562561,222561
Best,6.83 ± 8.87,67.26 ± 29.88,98.92 ± 1.85,99.62 ± 0.66,100.00 ± 0.00,100.00 ± 0.00,52.64 ± 43.63,6.83 ± 8.87,67.26 ± 29.88,99.95 ± 0.06,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,128,128,4,0.1,0,3,0.015,3,2,32,1,3,0.1,dot,256,128,0.1,10,5,1000,4.783485889434815,4.829803705215454,222561
