Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,batch_size,batch_size_sampler,lr,walk_length,num_steps,sample_coverage,epochs,train_time,test_time,params
cora_run7sur8jr9_GAT_hyper5iibqutj,0.47 ± 0.29,1.12 ± 0.23,2.30 ± 0.58,3.61 ± 0.58,5.79 ± 0.94,8.53 ± 0.28,1.31 ± 0.34,0.47 ± 0.29,1.12 ± 0.23,2.30 ± 0.58,3.61 ± 0.58,5.79 ± 0.94,8.53 ± 0.28,63.15 ± 3.58,70.34 ± 1.39,56.16 ± 0.78,128,128,4,0.1,0,3,0.015,3,2,32,1,3,0.1,dot,256,128,0.1,10,10,100,4,1.221827507019043,1.2574355602264404,222561
cora_runsnbcw4ql_GAT_hyper5zuuyejh,0.47 ± 0.29,1.12 ± 0.23,2.30 ± 0.58,3.61 ± 0.58,5.79 ± 0.94,8.53 ± 0.28,1.31 ± 0.34,0.47 ± 0.29,1.12 ± 0.23,2.30 ± 0.58,3.61 ± 0.58,5.79 ± 0.94,8.53 ± 0.28,63.15 ± 3.58,70.34 ± 1.39,56.16 ± 0.78,128,128,4,0.1,0,3,0.015,3,2,32,1,3,0.1,dot,256,128,0.1,10,10,100,4,1.5503966808319092,1.586036205291748,222561
Best,0.47 ± 0.29,1.12 ± 0.23,2.30 ± 0.58,3.61 ± 0.58,5.79 ± 0.94,8.53 ± 0.28,1.31 ± 0.34,0.47 ± 0.29,1.12 ± 0.23,2.30 ± 0.58,3.61 ± 0.58,5.79 ± 0.94,8.53 ± 0.28,63.15 ± 3.58,70.34 ± 1.39,56.16 ± 0.78,128,128,4,0.1,0,3,0.015,3,2,32,1,3,0.1,dot,256,128,0.1,10,10,100,4,1.5503966808319092,1.586036205291748,222561
