Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,batch_size_sampler,lr,num_neighbors,num_hops,epochs,train_time,test_time,params
Tune,13.30 ± 8.29,20.75 ± 11.27,32.09 ± 8.32,39.34 ± 10.69,60.53 ± 2.35,71.64 ± 1.14,19.93 ± 9.09,13.30 ± 8.29,20.75 ± 11.27,32.09 ± 8.32,39.34 ± 10.69,60.53 ± 2.35,71.64 ± 1.14,96.95 ± 0.10,98.04 ± 0.07,85.37 ± 2.20,128,128,512,128,0.015,10,5,20,1.3015658855438232,1.3174488544464111,216576
Tune,15.33 ± 10.91,23.17 ± 12.19,34.42 ± 10.61,48.59 ± 2.00,61.06 ± 1.10,72.81 ± 2.11,21.91 ± 10.86,15.33 ± 10.91,23.17 ± 12.19,34.42 ± 10.61,48.59 ± 2.00,61.06 ± 1.10,72.81 ± 2.11,97.20 ± 0.25,98.19 ± 0.19,89.04 ± 1.84,128,128,512,128,0.015,10,5,40,1.395674228668213,1.411611795425415,216576
Tune,23.00 ± 22.62,23.53 ± 13.85,32.92 ± 11.82,54.32 ± 5.91,62.78 ± 1.98,76.41 ± 3.61,21.89 ± 11.47,23.00 ± 22.62,23.53 ± 13.85,32.92 ± 11.82,54.32 ± 5.91,62.78 ± 1.98,76.41 ± 3.61,97.17 ± 0.28,98.19 ± 0.20,87.91 ± 1.71,128,128,512,128,0.015,10,5,60,1.3523366451263428,1.367910385131836,216576
Tune,16.80 ± 15.92,25.05 ± 19.74,22.51 ± 8.35,46.38 ± 2.64,59.02 ± 3.03,75.18 ± 6.58,16.44 ± 6.61,16.80 ± 15.92,25.05 ± 19.74,22.51 ± 8.35,46.38 ± 2.64,59.02 ± 3.03,75.18 ± 6.58,97.53 ± 0.60,97.99 ± 0.39,89.62 ± 3.17,128,128,512,128,0.015,10,5,80,1.3612594604492188,1.3767585754394531,216576
Tune,22.34 ± 21.39,14.48 ± 8.21,31.12 ± 6.32,44.62 ± 1.68,63.35 ± 8.34,74.66 ± 5.93,19.11 ± 8.19,22.34 ± 21.39,14.48 ± 8.21,31.12 ± 6.32,44.62 ± 1.68,63.35 ± 8.34,74.66 ± 5.93,97.43 ± 0.62,98.00 ± 0.28,89.71 ± 3.92,128,128,512,128,0.015,10,5,100,1.3470561504364014,1.363152027130127,216576
Tune,2.65 ± 2.58,4.19 ± 2.66,20.79 ± 12.68,28.37 ± 14.24,53.65 ± 5.90,77.66 ± 3.80,4.99 ± 2.33,2.65 ± 2.58,4.19 ± 2.66,20.79 ± 12.68,28.37 ± 14.24,53.65 ± 5.90,77.66 ± 3.80,97.23 ± 0.82,97.37 ± 1.23,88.78 ± 3.47,32,32,512,128,0.015,10,5,200,1.3837556838989258,1.3996071815490725,48000
Tune,2.64 ± 2.59,4.19 ± 2.66,18.53 ± 10.88,26.71 ± 12.95,52.04 ± 6.72,75.08 ± 3.26,4.99 ± 2.33,2.64 ± 2.59,4.19 ± 2.66,18.53 ± 10.88,26.71 ± 12.95,52.04 ± 6.72,75.08 ± 3.26,97.02 ± 0.44,97.34 ± 1.32,92.47 ± 3.77,32,32,512,128,0.015,10,5,300,1.3805904388427734,1.3986356258392334,48000
Best,23.00 ± 22.62,4.19 ± 2.66,34.42 ± 10.61,54.32 ± 5.91,63.35 ± 8.34,77.66 ± 3.80,4.99 ± 2.33,23.00 ± 22.62,4.19 ± 2.66,34.42 ± 10.61,54.32 ± 5.91,63.35 ± 8.34,77.66 ± 3.80,97.53 ± 0.60,98.19 ± 0.20,92.47 ± 3.77,128,128,512,128,0.015,10,5,300,1.395674228668213,1.411611795425415,216576
~                                                                                                          
