Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs,train_time,test_time,params
Tune,11.61 ± 19.49,40.98 ± 37.09,81.58 ± 27.84,99.65 ± 0.41,99.99 ± 0.02,100.00 ± 0.01,69.32 ± 23.74,11.61 ± 19.49,62.60 ± 52.38,82.13 ± 28.35,99.65 ± 0.41,99.99 ± 0.02,100.00 ± 0.01,99.98 ± 0.02,99.98 ± 0.03,99.82 ± 0.16,128,128,4,0.1,0,3,0.001,3,2,32,1,3,0.1,dot,256,0.1,128,10,5,200,1.3927626609802246,1.4122233390808103,222561
Tune,15.32 ± 12.91,9.66 ± 5.26,38.06 ± 19.67,63.81 ± 24.57,66.69 ± 36.38,89.13 ± 14.16,15.40 ± 16.43,15.32 ± 12.91,9.66 ± 5.26,38.06 ± 19.67,63.81 ± 24.57,66.69 ± 36.38,89.13 ± 14.16,99.35 ± 0.70,99.23 ± 0.82,98.37 ± 1.26,128,128,4,0.1,0,3,0.001,3,2,32,1,3,0.1,dot,256,0.1,128,10,5,100,1.4052064418792725,1.4225785732269287,222561
Tune,9.54 ± 14.14,26.84 ± 18.42,48.48 ± 39.81,72.98 ± 46.75,100.00 ± 0.01,100.00 ± 0.00,42.46 ± 35.20,9.54 ± 14.14,43.31 ± 44.60,71.76 ± 48.91,99.96 ± 0.06,100.00 ± 0.01,100.00 ± 0.00,100.00 ± 0.00,99.99 ± 0.01,99.97 ± 0.01,128,128,4,0.1,0,3,0.001,3,2,32,1,3,0.1,dot,256,0.1,128,10,5,300,1.5039193630218506,1.5220263004302979,222561
Best,9.54 ± 14.14,9.66 ± 5.26,81.58 ± 27.84,99.65 ± 0.41,99.99 ± 0.02,89.13 ± 14.16,69.32 ± 23.74,9.54 ± 14.14,9.66 ± 5.26,82.13 ± 28.35,99.96 ± 0.06,99.99 ± 0.02,89.13 ± 14.16,99.98 ± 0.02,99.99 ± 0.01,99.97 ± 0.01,128,128,4,0.1,0,3,0.001,3,2,32,1,3,0.1,dot,256,0.1,128,10,5,300,1.5039193630218506,1.5220263004302979,222561
~                                                                                                                                           
