Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,epochs,train_time,test_time,params
cora_run070l6866_VGAE_hyperbrsmhdpd,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,25.92953610420227,26.020033359527588,233088
cora_runfivfsts1_VGAE_hyper5p2l63ho,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,5.285454988479614,5.39582371711731,49056
cora_run070l6866_VGAE_hyperchkzk8ia,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,28.06554198265076,28.17786741256714,233088
cora_runfivfsts1_VGAE_hyperayyqqv7v,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.018803119659424,6.095259666442871,49056
cora_run070l6866_VGAE_hyper76ys1xim,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,24.34161305427552,24.435304164886475,233088
cora_runfivfsts1_VGAE_hypermqnbjykd,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,5.6701340675354,5.750614881515503,49056
cora_run070l6866_VGAE_hyperutbfnghc,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,27.98205733299256,28.081977128982544,233088
cora_runfivfsts1_VGAE_hypergxlxjo14,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,4.390830755233765,4.482746362686157,49056
cora_run070l6866_VGAE_hyperu0eaeszn,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,30.73814010620117,30.8477110862732,233088
cora_runfivfsts1_VGAE_hypere97d34xy,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.566869020462036,6.655896425247192,49056
cora_run070l6866_VGAE_hyperrc1p97c4,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,31.466959476470947,31.56543755531311,233088
cora_runfivfsts1_VGAE_hyperu2mg5280,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.3943705558776855,6.490978717803955,49056
cora_run070l6866_VGAE_hyperu0d0kv2b,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,32.36993336677551,32.54864549636841,233088
cora_runfivfsts1_VGAE_hyperps145rg5,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.240768194198608,6.318164825439453,49056
cora_runfivfsts1_VGAE_hypert7cf2uil,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.069545030593872,6.140431880950928,49056
cora_run070l6866_VGAE_hyperezt8vnw6,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,27.977483987808228,28.10918927192688,233088
cora_runfivfsts1_VGAE_hypersua2idl5,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.620912790298462,6.70149040222168,49056
cora_run070l6866_VGAE_hyperzbtjnvcj,12.24,33.09,43.36,73.74,93.17,98.92,22.24,12.24,33.09,43.36,73.74,93.17,98.92,90.57,93.55,82.17,128,128,32,20,32.803701639175415,32.909106969833374,233088
cora_runfivfsts1_VGAE_hyperk0nwzkfv,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.441658020019531,6.542076587677002,49056
cora_runfivfsts1_VGAE_hyperoc5a96iv,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.302673816680908,6.368113279342651,49056
cora_runfivfsts1_VGAE_hyperdlkuefzc,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,5.379492998123169,5.457085609436035,49056
cora_runfivfsts1_VGAE_hyperjhc7uhg3,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.044269800186157,6.083356857299805,49056
cora_runfivfsts1_VGAE_hypergwdfixg1,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.781546354293823,6.866013288497925,49056
cora_runfivfsts1_VGAE_hypershhvqozr,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.665457010269165,6.748909950256348,49056
cora_runfivfsts1_VGAE_hyper8qgy22j0,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.342172861099243,6.377411603927612,49056
cora_runfivfsts1_VGAE_hyperulptqcu0,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.262106895446777,6.353524923324585,49056
cora_runfivfsts1_VGAE_hyperuzwi1v5j,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,6.045425415039063,6.120279312133789,49056
cora_runfivfsts1_VGAE_hyper8pn9yfld,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,12.506563425064089,12.595425844192505,49056
cora_runfivfsts1_VGAE_hyperqlumh89t,5.09,40.8,63.29,70.67,90.81,99.29,42.61,5.09,40.8,63.29,70.67,90.81,99.29,92.24,94.58,81.78,32,32,32,100,16.57501220703125,16.66734218597412,49056
cora_run9zlt9ue5_VGAE_hyperuu718x25,8.93,25.71,69.57,74.64,91.43,97.5,22.09,8.93,25.71,69.57,74.64,91.43,97.5,89.19,92.39,80.18,32,32,64,20,13.149884939193726,13.210817337036133,49056
Best,19.69,43.71,69.57,74.64,93.17,99.29,42.61,19.69,43.71,69.57,74.64,93.17,99.29,92.24,94.58,82.17,128,128,64,100,32.803701639175415,32.909106969833374,233088
