Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runtjnqv6k9_GraphSage_hyperox8t45ku,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.343101739883423,6.4631507396698,47489
cora_runaoxwszg7_GraphSage_hypermjzy6rgs,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,22.43828082084656,22.500088691711422,46928
cora_runtjnqv6k9_GraphSage_hyper6twg6ejl,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.60727858543396,6.770901203155518,47489
cora_runaoxwszg7_GraphSage_hyperuqoy33g0,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,10.150961637496948,10.32200026512146,46928
cora_runaoxwszg7_GraphSage_hyperb2ck9ct6,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,10.579831600189207,10.63198208808899,46928
cora_runtjnqv6k9_GraphSage_hyper04jurmkm,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,14.728604316711426,14.764515161514282,47489
cora_runaoxwszg7_GraphSage_hyperatg6hhcw,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,12.622303247451782,12.74968719482422,46928
cora_runtjnqv6k9_GraphSage_hyperrzhv5i00,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,19.186538457870483,19.32656455039978,47489
cora_runaoxwszg7_GraphSage_hyperd8mxc45b,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,12.766353130340576,12.955179452896118,46928
cora_runaoxwszg7_GraphSage_hyperuobn72x8,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.278666973114014,5.453033208847046,46928
cora_runaoxwszg7_GraphSage_hyperks6qw1wd,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.371201276779175,5.545483350753784,46928
cora_runtjnqv6k9_GraphSage_hyper8mw6ub8z,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,18.37682867050171,18.56126570701599,47489
cora_runaoxwszg7_GraphSage_hyperhu10pi8b,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,6.775417566299439,6.897270917892456,46928
cora_runaoxwszg7_GraphSage_hyperzpw28tdr,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,6.861582517623901,7.003414154052734,46928
cora_runtjnqv6k9_GraphSage_hyperbjjfz0lz,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,23.59071183204651,23.647380828857425,47489
cora_runaoxwszg7_GraphSage_hyperqwfi8361,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,13.598952531814575,13.634350299835203,46928
cora_runtjnqv6k9_GraphSage_hyper7rqqkamb,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,9.72134280204773,9.770060062408447,47489
cora_runaoxwszg7_GraphSage_hyperbeca4mjd,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,16.951589584350586,16.99607014656067,46928
cora_runtjnqv6k9_GraphSage_hyper1p0yq9mu,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,9.70600199699402,9.830118417739868,47489
cora_runtjnqv6k9_GraphSage_hyperc5875d48,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,13.033023595809937,13.185640573501589,47489
