Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_runw7ab8ebg_GraphSage,17.43,41.86,67.78,77.89,92.94,96.78,28.91,17.43,41.86,67.78,77.89,92.94,96.78,93.86,95.39,82.55,256,256,32,0.01,128,20,8,50
cora_runzrxj1js3_GraphSage,17.43,41.86,67.78,77.89,92.94,96.78,28.91,17.43,41.86,67.78,77.89,92.94,96.78,93.86,95.39,82.55,256,256,32,0.01,128,30,6,50
cora_runf69wqk2r_GraphSage,17.43,41.86,67.78,77.89,92.94,96.78,28.91,17.43,41.86,67.78,77.89,92.94,96.78,93.86,95.39,82.55,256,256,32,0.01,128,30,7,50
cora_runepjygdxi_GraphSage,17.43,41.86,67.78,77.89,92.94,96.78,28.91,17.43,41.86,67.78,77.89,92.94,96.78,93.86,95.39,82.55,256,256,32,0.01,128,30,8,50
cora_runo3stb8zy_GraphSage,17.43,41.86,67.78,77.89,92.94,96.78,28.91,17.43,41.86,67.78,77.89,92.94,96.78,93.86,95.39,82.55,256,256,32,0.01,128,40,6,50
cora_runs541e28a_GraphSage,17.43,41.86,67.78,77.89,92.94,96.78,28.91,17.43,41.86,67.78,77.89,92.94,96.78,93.86,95.39,82.55,256,256,32,0.01,128,40,7,50
cora_runutwgoz9g_GraphSage,51.61,57.72,76.19,83.18,93.2,97.23,58.29,51.61,57.72,76.19,83.18,93.2,97.23,91.88,96.96,83.15,256,256,32,0.01,32,40,6,50
cora_runb8vxyary_GraphSage,17.43,41.86,67.78,77.89,92.94,96.78,28.91,17.43,41.86,67.78,77.89,92.94,96.78,93.86,95.39,82.55,256,256,32,0.01,128,40,8,50
cora_run7f76v4g1_GraphSage,17.43,39.59,61.95,76.05,92.94,96.78,35.75,17.43,39.59,61.95,76.05,92.94,96.78,93.86,95.39,82.55,256,256,64,0.1,32,5,6,50
cora_run5d0zc8lz_GraphSage,17.43,39.59,61.95,76.05,92.94,96.78,35.75,17.43,39.59,61.95,76.05,92.94,96.78,93.86,95.39,82.55,256,256,64,0.1,32,5,7,50
cora_runypadfn9r_GraphSage,51.61,57.72,76.19,83.18,93.2,97.23,58.29,51.61,57.72,76.19,83.18,93.2,97.23,91.88,96.96,83.15,256,256,32,0.01,32,40,7,50
cora_runjkp1mmim_GraphSage,17.43,39.59,61.95,76.05,92.94,96.78,35.75,17.43,39.59,61.95,76.05,92.94,96.78,93.86,95.39,82.55,256,256,64,0.1,32,5,8,50
cora_runhdabh3za_GraphSage,51.61,57.72,76.19,83.18,93.2,97.23,58.29,51.61,57.72,76.19,83.18,93.2,97.23,91.88,96.96,83.15,256,256,32,0.01,32,40,8,50
cora_runkvao4rnq_GraphSage,51.61,59.08,76.19,83.18,93.2,97.23,58.29,51.61,59.08,76.19,83.18,93.2,97.23,95.65,96.96,83.15,256,256,32,0.01,64,5,6,50
cora_runcjlnxivs_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,5,7,50
cora_runou4dme6q_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,5,8,50
cora_runpenfq31b_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,10,6,50
cora_runj6oksle8_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,10,7,50
cora_runewljhg8p_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,10,8,50
cora_runas18ajk8_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,20,6,50
cora_run21qd6nms_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,20,7,50
cora_runcikf27ni_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,20,8,50
cora_rundj3estrh_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,30,6,50
cora_runxpkgm1lh_GraphSage,51.61,59.08,76.19,81.32,93.2,97.23,58.29,51.61,59.08,76.19,81.32,93.2,97.23,95.54,96.96,83.15,256,256,32,0.01,64,30,7,50
Best,57.6,65.98,76.19,83.18,93.2,97.23,63.91,57.6,65.98,76.19,83.18,93.2,97.23,95.65,96.96,83.15,256,256,64,0.1,128,40,8,50
