Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run1qacz7uf_GAT_hyper17ttv1wq,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.561371803283691,6.69340443611145,217344
cora_runqeogi6ee_GAT_hyperbkrymjl8,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.586856365203856,12.643364191055298,217344
cora_run1qacz7uf_GAT_hyperou11r2lg,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,5.705591440200806,5.820352554321289,217344
cora_runqeogi6ee_GAT_hyperceetz3ww,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.877432107925415,7.048446178436279,217344
cora_run1qacz7uf_GAT_hyper363xu5qy,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.510338306427002,6.612925291061401,217344
cora_runqeogi6ee_GAT_hyperc3729fb1,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,8.314510107040405,8.366958379745483,217344
cora_run1qacz7uf_GAT_hyper64lma4jf,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,5.2696373462677,5.326634645462036,217344
cora_runqeogi6ee_GAT_hyperps6xc35m,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,8.084840536117554,8.134275913238525,217344
cora_runqeogi6ee_GAT_hyperbt7tdkdl,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,9.83354949951172,9.894884586334229,217344
cora_run1qacz7uf_GAT_hyperf5ar8ex3,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,15.011476993560793,15.09952425956726,217344
cora_runqeogi6ee_GAT_hyper1a2i8t8c,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,16.50391173362732,16.556620597839355,217344
cora_run1qacz7uf_GAT_hyperte69pxhr,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,22.23073530197144,22.3432195186615,217344
cora_runqeogi6ee_GAT_hyperfg742mhj,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,18.259305000305176,18.305837392807007,217344
cora_run1qacz7uf_GAT_hypereywuovog,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,24.190675020217896,24.29711413383484,217344
cora_runqeogi6ee_GAT_hyperam81fzcc,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,22.96188735961914,23.047074556350708,217344
cora_run1qacz7uf_GAT_hyperlx72ur2b,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,28.264159202575684,28.44402527809143,217344
cora_run1qacz7uf_GAT_hyperw4h2zwae,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.288014650344849,12.395319938659668,217344
cora_runqeogi6ee_GAT_hyperzsgfh5vy,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,24.45487141609192,24.51306223869324,217344
cora_run1qacz7uf_GAT_hyperh466azl8,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,13.175269842147827,13.225632190704346,217344
cora_runqeogi6ee_GAT_hyper7mk8w95s,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,8.40168309211731,8.487785577774048,217344
cora_run1qacz7uf_GAT_hypery1460cjv,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.281776666641235,12.426264762878418,217344
cora_runqeogi6ee_GAT_hypertntt31s8,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.39527702331543,12.442353010177612,217344
cora_runqeogi6ee_GAT_hyper8tkwjegk,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.803727865219116,12.92047119140625,217344
