Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_runtg4tscnv_VGAE,0.0,0.96,28.99,37.22,78.13,92.63,11.3,0.0,12.06,28.99,52.12,76.9,83.31,89.45,90.13,78.1,32,32,32,0.1,64,40,6,50
cora_runxvcrrobu_VGAE,0.0,0.96,28.99,37.22,78.13,92.63,11.3,0.0,12.06,28.99,52.12,76.9,81.02,89.45,90.13,78.1,32,32,32,0.1,64,40,7,50
cora_runyn1muuvd_VGAE,0.0,0.96,28.99,37.22,78.13,92.63,11.3,0.0,12.06,28.99,52.12,76.9,81.02,89.45,90.13,78.1,32,32,32,0.1,64,40,8,50
cora_runhctkeunl_VGAE,13.14,24.31,49.16,64.47,80.67,91.75,23.77,13.14,24.31,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,5,6,50
cora_run8qscbun6_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,5,7,50
cora_rundnoq0305_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,5,8,50
cora_run3llugycx_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,10,6,50
cora_run3wg8xhpl_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,10,7,50
cora_runli6s13nh_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,10,8,50
cora_runnkrvx66x_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,20,6,50
cora_rundm3mvtiy_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,20,7,50
cora_runwgb30wle_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,20,8,50
cora_run2iaxl8p6_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,30,6,50
cora_runb6n9ektu_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,30,7,50
cora_runep7gxako_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,30,8,50
cora_runsmcb803l_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,40,6,50
cora_runh484mo5h_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,40,7,50
cora_run0b6c4zy6_VGAE,13.22,24.51,49.16,64.47,80.67,91.75,23.6,13.22,24.51,46.25,58.53,76.9,81.02,90.9,92.58,76.34,32,32,32,0.1,128,40,8,50
cora_run5mwht3vx_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,5,6,50
cora_runmaypfh98_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,5,7,50
cora_runzhzn8l0l_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,5,8,50
cora_runmx4d1mzq_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,10,6,50
cora_runjdanmick_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,10,7,50
cora_runev2hs0y0_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,10,8,50
cora_run7om0gtrh_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,20,6,50
